Date,Title,URL
2024-12-04,"Bonus Shares of CHDC, API, KSBBL and EBL Listed in NEPSE",https://www.sharesansar.com/newsdetail/bonus-shares-of-chdc-api-ksbbl-and-ebl-listed-in-nepse-2024-12-04
2024-10-28,Api Power Company's AGM Approves Investment Proposal in 49 MW and Plans for Apartment Construction,https://www.sharesansar.com/newsdetail/api-power-companys-agm-approves-investment-proposal-in-49-mw-and-plans-for-apartment-construction-2024-10-28
2024-10-17,Reminder! Last Day to Grab Dividend Proposed by API Power Company Limited,https://www.sharesansar.com/newsdetail/reminder-last-day-to-grab-dividend-proposed-by-api-power-company-limited-2024-10-17
2024-10-06,API Power Company Limited Unveils Book Closure Date; Calls AGM on Kartik 11,https://www.sharesansar.com/newsdetail/api-power-company-limited-unveils-book-closure-date-calls-agm-on-kartik-11-2024-10-06
2024-10-02,Api Power Postpones 21st AGM and Dividend Distribution Pending ERC Decision on Dividend Cancellation,https://www.sharesansar.com/newsdetail/api-power-postpones-21st-agm-and-dividend-distribution-pending-erc-decision-on-dividend-cancellation-2024-10-02
2024-09-27,9.4737% Dividend Distribution of Api Power Company Limited Canceled,https://www.sharesansar.com/newsdetail/94737-dividend-distribution-of-api-power-company-limited-canceled-2024-09-27
2024-09-16,Api Power Company Unveils Book Closure Date for its 9.4737% Dividend; Calls AGM on Kartik 1,https://www.sharesansar.com/newsdetail/api-power-company-unveils-book-closure-date-for-its-94737-dividend-calls-agm-on-kartik-1-2024-09-16
2024-08-25,Api Power Company Proposes 9.4737% Dividend; How Much in Bonus Shares and Cash?,https://www.sharesansar.com/newsdetail/api-power-company-proposes-94737-dividend-how-much-in-bonus-shares-and-cash-2024-08-25
2024-05-09,Suryakunda Hydropower Limited Prepares for IPO Amidst Major Project Development,https://www.sharesansar.com/newsdetail/suryakunda-hydropower-limited-prepares-for-ipo-amidst-major-project-development-2024-05-09
2024-02-07,Successful Completion of Dry Test for 9.7 MW Upper Ingwa Khola Small Hydropower Project,https://www.sharesansar.com/newsdetail/successful-completion-of-dry-test-for-97-mw-upper-ingwa-khola-small-hydropower-project-2024-02-07
2024-01-16,API Power Successfully Conducted 20th AGM with Key Growth Highlights,https://www.sharesansar.com/newsdetail/api-power-successfully-conducted-20th-agm-with-key-growth-highlights-2024-01-16
2023-12-21,Api Power Company Calls AGM With These Agendas,https://www.sharesansar.com/newsdetail/api-power-company-calls-agm-with-these-agendas-2023-12-21
2023-11-10,40% Right Shares of API Power Company and 35% Right Shares of Multipurpose Finance Listed on NEPSE for Trading,https://www.sharesansar.com/newsdetail/40-right-shares-of-api-power-company-and-35-right-shares-of-multipurpose-finance-listed-on-nepse-for-trading-2023-11-10
2023-10-17,Bids Received in Auction of Api Power Company Ordinary Shares Opened; What is the Cut-Off Rate?,https://www.sharesansar.com/newsdetail/bids-received-in-auction-of-api-power-company-ordinary-shares-opened-what-is-the-cut-off-rate-2023-10-17
2023-09-27,Api Power Company Auctioning 11.94 Lakh Unclaimed Right Shares from Ashwin 17,https://www.sharesansar.com/newsdetail/api-power-company-auctioning-1194-lakh-unclaimed-right-shares-from-ashwin-17-2023-09-27
2023-09-26,SEBON to Enforce Stricter Rules for Hydropower Companies: Strengthening Corporate Governance and Share Sale Protocols,https://www.sharesansar.com/newsdetail/sebon-to-enforce-stricter-rules-for-hydropower-companies-strengthening-corporate-governance-and-share-sale-protocols-2023-09-26
2023-09-10,DATA COMPILATION: Nepal's Hydropower Lock-In Period,https://www.sharesansar.com/newsdetail/data-compilation-nepals-hydropower-lock-in-period-2023-09-10
2023-09-05,1: 0.40 Rights Offering of Api Power Company Closing Today,https://www.sharesansar.com/newsdetail/1-040-rights-offering-of-api-power-company-closing-today-2023-09-05
2023-09-04,Final Two Days Remaining to Apply for 1: 0.40 Right Shares of Api Power Company,https://www.sharesansar.com/newsdetail/final-two-days-remaining-to-apply-for-1-040-right-shares-of-api-power-company-2023-09-04
2023-08-16,API Power 40 Percent Right Share Issue Starting Today,https://www.sharesansar.com/newsdetail/api-power-40-percent-right-share-issue-starting-today-2023-08-16
2023-07-30,Api Power Company Limited (API) Announces Rights Issue from Shrawan 31,https://www.sharesansar.com/newsdetail/api-power-company-limited-api-announces-rights-issue-from-shrawan-31-2023-07-30
2023-07-06,Last Day to Be Eligible for 1: 0.4 Rights Offering of Api Power Company,https://www.sharesansar.com/newsdetail/last-day-to-be-eligible-for-1-04-rights-offering-of-api-power-company-2023-07-06
2023-06-27,Api Power Company (API) Unveils Book Closure Date for 40% Rights Offering,https://www.sharesansar.com/newsdetail/api-power-company-api-unveils-book-closure-date-for-40-rights-offering-2023-06-27
2023-06-22,SEBON: Api Power Company's Proposal for Right Share Distribution Gets Approval,https://www.sharesansar.com/newsdetail/sebon-api-power-companys-proposal-for-right-share-distribution-gets-approval-2023-06-22
2023-04-17,Country Adds Around 500 Megawatts Power and Exported 425 Megawatts of electricity to India in 2079 BS,https://www.sharesansar.com/newsdetail/country-adds-around-500-megawatts-power-and-exported-425-megawatts-of-electricity-to-india-in-2079-bs-2023-04-17
2023-03-28,"Bonus Shares of SDLBSL, RSDC, API & NIL Listed On NEPSE",https://www.sharesansar.com/newsdetail/bonus-shares-of-sdlbsl-rsdc-api-nil-listed-on-nepse-2023-03-28
2023-03-22,Right Shares of Api Power Company in SEBON Pipeline; Company to Issue 40% Right Share Soon,https://www.sharesansar.com/newsdetail/right-shares-of-api-power-company-in-sebon-pipeline-company-to-issue-40-right-share-soon-2023-03-22
2023-03-13,Api Power Company Receives Final Approval From Electricity Regulatory Commission to Issue 40% Right Shares,https://www.sharesansar.com/newsdetail/api-power-company-receives-final-approval-from-electricity-regulatory-commission-to-issue-40-right-shares-2023-03-13
2023-02-15,Reminder! Last Day to Clinch Dividend Proposed by Api Power Company and Upakar Laghubitta,https://www.sharesansar.com/newsdetail/reminder-last-day-to-clinch-dividend-proposed-by-api-power-company-and-upakar-laghubitta-2023-02-15
2023-02-13,Api Power Company Reports Decline in Net Profit by 56.38% in Q2; API Successfully Completed Construction of 4 Hydropower Projects,https://www.sharesansar.com/newsdetail/api-power-company-reports-decline-in-net-profit-by-5638-in-q2-api-successfully-completed-construction-of-4-hydropower-projects-2023-02-13
2023-02-01,Api Power Company Calls AGM on 14th Falgun to Endorse 7.8947% Dividend and 1:0.40 Rights Offering; When's the Book Closure?,https://www.sharesansar.com/newsdetail/api-power-company-calls-agm-on-14th-falgun-to-endorse-78947-dividend-and-1040-rights-offering-whens-the-book-closure-2023-02-01
2023-01-29,Api Power Company Receives Preliminary Approval from ERC to Issue Right Shares at the Ratio of 1:0.40,https://www.sharesansar.com/newsdetail/api-power-company-receives-preliminary-approval-from-erc-to-issue-right-shares-at-the-ratio-of-1040-2023-01-29
2023-01-17,Api Power Company (API) Proposes to Issue Right Shares at the Ratio of 1:0.40,https://www.sharesansar.com/newsdetail/api-power-company-api-proposes-to-issue-right-shares-at-the-ratio-of-1040-2023-01-17
2023-01-06,Api Power Company Announces 7.8947% Dividend for FY 2078/79,https://www.sharesansar.com/newsdetail/api-power-company-announces-78947-dividend-for-fy-207879-2023-01-06
2022-07-13,"1,08,60,000 Units Right Shares of Api Power Company Listed in NEPSE",https://www.sharesansar.com/newsdetail/10860000-units-right-shares-of-api-power-company-listed-in-nepse-2022-07-13
2022-06-20,"API Power Company Allotts Auctioned Shares to Bidders, Company Refunding Non-Allottees From Ashad 08",https://www.sharesansar.com/newsdetail/api-power-company-allotts-auctioned-shares-to-bidders-company-refunding-non-allottees-from-ashad-08-2022-06-20
2022-06-15,Bids Received in Auction of API Ordinary Shares Opened; What is the Cut-Off Rates?,https://www.sharesansar.com/newsdetail/bids-received-in-auction-of-api-ordinary-shares-opened-what-is-the-cut-off-rates-2022-06-15
2022-06-09,"Last Day to Bid for 4,49,328 Unit Shares of Api Power Company",https://www.sharesansar.com/newsdetail/last-day-to-bid-for-449328-unit-shares-of-api-power-company-2022-06-09
2022-06-01,"Auction Opening of Api Power Company Limited (API) for 4,49,328 Units Ordinary Shares",https://www.sharesansar.com/newsdetail/auction-opening-of-api-power-company-limited-api-for-449328-units-ordinary-shares-2022-06-01
2022-05-25,"Api Power Company (API) Auctioning 4,49,328 Unclaimed Right Shares from Jestha 18",https://www.sharesansar.com/newsdetail/api-power-company-api-auctioning-449328-unclaimed-right-shares-from-jestha-18-2022-05-25
2022-05-22,Right Shares of API Power Company Allotted to Applicants; Almost 4.16% of Shareholders Did Not Claim For The Issue,https://www.sharesansar.com/newsdetail/right-shares-of-api-power-company-allotted-to-applicants-almost-416-of-shareholders-did-not-claim-for-the-issue-2022-05-22
2022-04-28,1: 0.393632 Rights Offering of API Power Company (API) Closing Today,https://www.sharesansar.com/newsdetail/closing-day-of-1-0393632-right-shares-of-api-power-company-api-2022-04-27
2022-04-08,Why Can't I Apply for Rights Issue of Api Power Company?,https://www.sharesansar.com/newsdetail/why-cant-i-apply-for-rights-issue-of-api-power-company-2022-04-08
2022-04-07,Api Power Company (API) Opening Rights Issue from Today,https://www.sharesansar.com/newsdetail/api-power-company-api-opening-rights-issue-from-today-2022-04-07
2022-03-27,Last Day to Be Eligible for Rights Offering of Api Power Company Limited,https://www.sharesansar.com/newsdetail/last-day-to-be-eligible-for-rights-offering-of-api-power-company-limited-2022-03-25
2022-03-23,Api Power Company (API) Opening Rights Issue from Chaitra 25,https://www.sharesansar.com/newsdetail/api-power-company-api-opening-rights-issue-from-chaitra-25-2022-03-23
2022-03-18,Api Power Company (API) Unveils Book Closure Date for 1: 0.3936 Rights Offering,https://www.sharesansar.com/newsdetail/api-power-company-api-unveils-book-closure-date-for-1-03936-rights-offering-2022-03-18
2022-03-11,"Rights Issue of Api Power Company (API) Approved, Company to Issue 1,08,60,000 Shares",https://www.sharesansar.com/newsdetail/rights-issue-of-api-power-company-api-approved-company-to-issue-10860000-shares-2022-03-11
2022-03-04,Himalayan Hydro Expo 2022 to be on the floor at  Bhrikutimandap; 100 plus companies in hydro sector to showcase new innovation including hydro robotics,https://www.sharesansar.com/newsdetail/himalayan-hydro-expo-2022-to-be-on-the-floor-at-bhrikutimandap-100-plus-companies-in-hydro-sector-to-showcase-new-innovation-including-hydro-robotics-2022-03-04
2021-11-15,10.5% Bonus Shares of Api Power Company (API) Now Listed in NEPSE,https://www.sharesansar.com/newsdetail/105-bonus-shares-of-api-power-company-api-now-listed-in-nepse-2021-11-15
2021-11-12,How Many Companies Have Distributed Dividend for FY 2077/78 As of Now? Summary of All Sectors With Exact Dividend Figure,https://www.sharesansar.com/newsdetail/dividend-distributed-by-companies-2021-11-12
2021-10-22,Api Power Company (API) and Nepal Finance (NFS) Propose to Issue Right Shares; Application Submitted to SEBON,https://www.sharesansar.com/newsdetail/api-power-company-api-and-nepal-finance-nfs-propose-to-issue-right-shares-application-submitted-to-sebon-2021-10-22
2021-10-01,"Api Power Company Receives Preliminary Approval to Issue 1,08,60,000 Right Shares",https://www.sharesansar.com/newsdetail/api-power-company-receives-preliminary-approval-to-issue-10860000-right-shares-2021-10-01
2021-09-27,Electricity Regulatory Commission Unveils Liberal Policy on Right Shares Issuance for Hydropower Companies,https://www.sharesansar.com/newsdetail/electricity-regulatory-commission-unveils-liberal-policy-on-right-shares-issuance-for-hydropower-companies-2021-09-27
2021-09-12,Api Power Company convenes its 18th AGM; endorses 10.5% dividend and 1:0.3936 right shares to its shareholders,https://www.sharesansar.com/newsdetail/api-power-company-convenes-its-18th-agm-endorses-105-dividend-and-103936-right-shares-to-its-shareholders-2021-09-12
2021-09-02,"Last Day to Grab Dividend of Ngadi Group Power, NMB Hybrid Fund L- 1, NMB50 and Api Power Company",https://www.sharesansar.com/newsdetail/last-day-to-grab-dividend-of-ngadi-group-power-limited-2021-09-01
2021-08-26,Shares Listed: Bonus Shares of Suryodaya Laghubitta (SLBS) and Right Shares of Api Power Company (API),https://www.sharesansar.com/newsdetail/shares-listed-bonus-shares-of-suryodaya-laghubitta-slbs-and-right-shares-of-api-power-company-api-2021-08-26
