Date,Title,URL
2025-01-26,"Comparative Analysis of Development Banks in Q2 FY 2081/82: Profits, Capital, and Ratios Unveiled",https://www.sharesansar.com/newsdetail/comparative-analysis-of-development-banks-in-q2-fy-208182-profits-capital-and-ratios-unveiled-2025-01-26
2024-12-13,No Dividend To Jyoti Bikash Bank Shareholders For FY 2080/81,https://www.sharesansar.com/newsdetail/no-dividend-to-jyoti-bikash-bank-shareholders-for-fy-208081-2024-12-13
2024-10-28,Comprehensive Analysis of First Quarter Reports for FY 2081/82: A Closer Look at Development Banks in Nepal,https://www.sharesansar.com/newsdetail/comprehensive-analysis-of-first-quarter-reports-for-fy-208182-a-closer-look-at-development-banks-in-nepal-2024-10-28
2024-08-09,Financial Showdown: A Comparative Deep Dive into Development Banks' Q4 Performance for FY 2080/81,https://www.sharesansar.com/newsdetail/financial-showdown-a-comparative-deep-dive-into-development-banks-q4-performance-for-fy-208081-2024-08-09
2024-04-24,Insightful Evaluation: Q3 2080/81 Performance Analysis of B-Class Development Banks Unveiled,https://www.sharesansar.com/newsdetail/insightful-evaluation-q3-208081-performance-analysis-of-b-class-development-banks-unveiled-2024-04-24
2024-04-17,Jyoti Bikas Bank Reports 24.40% Decrease in Net Profit and Decline in EPS for Q3 FY 2080/81,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-reports-2440-decrease-in-net-profit-and-decline-in-eps-for-q3-fy-208081-2024-04-17
2024-04-10,Jyoti Bikash Bank Decides to Purchase Land at Rs. 97 Lakhs per Aana,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-decides-to-purchase-land-at-rs-97-lakhs-per-aana-2024-04-10
2024-01-24,"Comparative Analysis of Development Banks in Q2 FY 2080/81: Profits, Capital, and Ratios Unveiled",https://www.sharesansar.com/newsdetail/comparative-analysis-of-development-banks-in-q2-fy-208081-profits-capital-and-ratios-unveiled-2024-01-24
2023-12-20,No Dividend To Jyoti Bikash Bank Shareholders For FY 2079/80,https://www.sharesansar.com/newsdetail/no-dividend-to-jyoti-bikash-bank-shareholders-for-fy-207980-2023-12-20
2023-12-17,"Government Records Rs. 12.5 Arba Profit Tax Collection from Mergers, Acquisitions, and FPOs as BFIs Meet Deadline",https://www.sharesansar.com/newsdetail/government-records-rs-125-arba-profit-tax-collection-from-mergers-acquisitions-and-fpos-as-bfis-meet-deadline-2023-12-17
2023-11-27,Comprehensive Analysis of First Quarter Reports for FY 2080/81: A Closer Look at Development Banks in Nepal,https://www.sharesansar.com/newsdetail/comprehensive-analysis-of-first-quarter-reports-for-fy-208081-a-closer-look-at-development-banks-in-nepal-2023-11-27
2023-10-18,NRB Reports Net Profits of Commercial and Development Banks Till Bhadra of FY 2080/81; GBIME Leading The Chart,https://www.sharesansar.com/newsdetail/nrb-reports-net-profits-of-commercial-and-development-banks-till-bhadra-of-fy-208081-gbime-leading-the-chart-2023-10-18
2023-08-02,NIMB Ace Capital renews agreement with Jyoti Bikas Bank as Share Registrar company,https://www.sharesansar.com/newsdetail/nimb-ace-capital-renews-agreement-with-jyoti-bikas-bank-as-share-registrar-company-2023-08-02
2023-06-25,Promoter Shares of Jyoti Bikash Bank and Prabhu Bank in Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-jyoti-bikash-bank-and-prabhu-bank-in-auction-from-today-2023-06-25
