Date,Title,URL
2025-02-12,Nepal Telecom Reports 32.97% Decline in Net Profit in Q2 2081/82 Following Drops in Revenue and Other Income,https://www.sharesansar.com/newsdetail/nepal-telecom-reports-3297-decline-in-net-profit-in-q2-208182-following-drops-in-revenue-and-other-income-2025-02-12
2025-01-13,Nepal Doorsanchar Company Limited Distributed Cash Dividends Directly to Shareholders' Bank Accounts,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-limited-distributed-cash-dividends-directly-to-shareholders-bank-accounts-2025-01-13
2025-01-01,"Book Closure Alert: Last Trading Day to Clinch Dividend of GBBL, BPCL, And NTC",https://www.sharesansar.com/newsdetail/book-closure-alert-last-trading-day-to-clinch-dividend-of-gbbl-bpcl-and-ntc-2025-01-01
2024-12-22,Nepal Doorsanchar Company (NTC) Calls AGM; When's the Book Closure for Rs. 30 Per Share Cash Dividend?,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-ntc-calls-agm-whens-the-book-closure-for-rs-30-per-share-cash-dividend-2024-12-22
2024-08-15,Nepal Telecom's Net Profit Drops 16.44% in Q4 FY 2080/81; Revenue and Investments Decline,https://www.sharesansar.com/newsdetail/nepal-telecoms-net-profit-drops-1644-in-q4-fy-208081-revenue-and-investments-decline-2024-08-15
2024-08-01,Nepal Telecom to Suspend Services for Four Hours Tonight,https://www.sharesansar.com/newsdetail/nepal-telecom-to-suspend-services-for-four-hours-tonight-2024-08-01
2024-06-04,Government Invites Applications for Managing Director Position at Nepal Telecom,https://www.sharesansar.com/newsdetail/government-invites-applications-for-managing-director-position-at-nepal-telecom-2024-06-04
2024-05-13,"Nepal Doorsanchar Company (NTC) Reports Incremental Growth in Q3 Net Profits, Achieving Rs. 5.59 Arba; EPS at Rs. 41.44",https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-ntc-reports-incremental-growth-in-q3-net-profits-achieving-rs-559-arba-eps-at-rs-4144-2024-05-13
2024-02-26,Nepal Telecom and Civil Aviation Authority of Nepal (CAAN) Collaborate to Introduce Free Wi-Fi Services at Airports,https://www.sharesansar.com/newsdetail/nepal-telecom-and-civil-aviation-authority-of-nepal-caan-collaborate-to-introduce-free-wi-fi-services-at-airports-2024-02-26
2024-02-13,Nepal Doorsanchar Company Unveils Q2 Report with Net Profits Declining; EPS at Rs. 43.68,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-unveils-q2-report-with-net-profits-declining-eps-at-rs-4368-2024-02-13
2024-01-16,Nepal Doorsanchar Company Limited Distributed Cash Dividends Directly to Shareholders' Bank Accounts,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-limited-distributed-cash-dividends-directly-to-shareholders-bank-accounts-2024-01-16
2024-01-03,"Book Closure Alert: Last Trading Day to Clinch Dividend of SHIVM, NTC, BPCL, and 4 more companies",https://www.sharesansar.com/newsdetail/book-closure-alert-last-trading-day-to-clinch-dividend-of-shivm-ntc-bpcl-and-4-more-companies-2024-01-03
2023-12-24,Nepal Doorsanchar Company (NTC) Calls AGM; When's the Book Closure for Rs. 40 Per Share Cash Dividend?,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-ntc-calls-agm-whens-the-book-closure-for-rs-40-per-share-cash-dividend-2023-12-24
2023-12-22,Nepal Doorsanchar Company (NTC) Proposes Rs. 40 Cash Dividend Per Share for FY 2079/80,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-ntc-proposes-rs-40-cash-dividend-per-share-for-fy-207980-2023-12-22
2023-08-16,NTC Unveils Q4 Report with Rs. 7.80 Arba in Net Profits; EPS Stands at Rs. 43.36,https://www.sharesansar.com/newsdetail/ntc-unveils-q4-report-with-rs-780-arba-in-net-profits-eps-stands-at-rs-4336-2023-08-16
2023-08-09,Loss of Recharge Cards Worth 10 Lakh Rupees: Nepal Telecom Issues Notice,https://www.sharesansar.com/newsdetail/loss-of-recharge-cards-worth-10-lakh-rupees-nepal-telecom-issues-notice-2023-08-09
2023-05-14,Nepal Telecom Earned Rs. 5.41 Arba in Net Profit in Q3 of FY 79/80; Maintains EPS of Rs. 40.09,https://www.sharesansar.com/newsdetail/nepal-telecom-earned-rs-541-arba-in-net-profit-in-q3-of-fy-7980-maintains-eps-of-rs-4009-2023-05-14
2023-02-12,"NTC Q2 Highlights: Net Profit Rises by 9.16%, EPS at Rs 47.28 & Net Worth Per Share at Rs. 512.92",https://www.sharesansar.com/newsdetail/ntc-q2-highlights-net-profit-rises-by-916-eps-at-rs-4728-net-worth-per-share-at-rs-51292-2023-02-12
2023-01-13,Nepal Doorsanchar Company and Nepal SBI Bank Distributing Dividend Directly to Shareholders Bank Account,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-and-nepal-sbi-bank-distributing-dividend-directly-to-shareholders-bank-account-2023-01-13
2023-01-01,Reminder! Last Day to Grab Dividend Proposed by These Six Companies,https://www.sharesansar.com/newsdetail/reminder-last-day-to-grab-dividend-proposed-by-these-six-companies-2023-01-01
2022-12-22,Nepal Doorsanchar Company (NTC) proposes 40% Cash Dividend; AGM to be held on Poush 28,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-ntc-proposes-40-cash-dividend-agm-to-be-held-on-poush-28-2022-12-22
2022-11-16,"Nepal Doorsanchar Q1 Highlights: Revenue Decreases by 7.14% Whereas Other Income Rises by 66.73%, Net Worth Per Share at Rs. 540.37",https://www.sharesansar.com/newsdetail/nepal-doorsanchar-q1-highlights-revenue-decreases-by-714-whereas-other-income-rises-by-6673-net-worth-per-share-at-rs-54037-2022-11-16
2022-09-14,Namaste Pay launches Festive Campaign; 7 lucky winners to win 100% cashback of their transaction and many other schemes available,https://www.sharesansar.com/newsdetail/namaste-pay-launches-festive-campaign-7-lucky-winners-to-win-100-cashback-of-their-transaction-and-many-other-schemes-available-2022-09-14
2022-08-15,Nepal Doorsanchar Company Limited Major Highlights of the 4th Quarter; Net Profit Rises By 17.54% and Net Worth at Massive Rs. 528.13,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-limited-major-highlights-of-the-4th-quarter-net-profit-rises-by-1754-and-net-worth-at-massive-rs-52813-2022-08-15
2022-08-09,20% Bonus Shares of Nepal Doorsanchar Company (NTC) Listed in NEPSE,https://www.sharesansar.com/newsdetail/20-bonus-shares-of-nepal-doorsanchar-company-ntc-listed-in-nepse-2022-08-09
2022-06-17,Nepal Bank collaborates with NTC; customers of the bank can now access mo banking service without any internet data,https://www.sharesansar.com/newsdetail/nepal-bank-collaborates-with-ntc-customers-of-the-bank-can-now-access-mo-banking-service-without-any-internet-data-2022-06-17
2022-05-11,Nepal Doorsanchar reports decline in Net profit by 40.75% in Q3; Look at the major highlight of this quarter,https://www.sharesansar.com/newsdetail/nepal-doorsanchar-reports-decline-in-net-profit-by-4075-in-q3-look-at-the-major-highlight-of-this-quarter-2022-05-11
2022-05-01,Detailed Summary Of Dividends Distributed By Sectors Listed In Nepse For FY-77/78 With Exact Dividend Figures,https://www.sharesansar.com/newsdetail/detailed-summary-of-dividends-distributed-by-sectors-listed-in-nepse-for-fy-7778-with-exact-dividend-figures-2022-05-01
2022-04-28,Nepal Telecom set to provide e-SIM to its Subscribers,https://www.sharesansar.com/newsdetail/nepal-telecom-set-to-provide-e-sim-to-its-subscribers-2022-04-28
2022-04-08,NTC Distributes 20% Cash Dividend to Bank Accounts,https://www.sharesansar.com/newsdetail/ntc-distributes-20-cash-dividend-to-bank-accounts-2022-04-08
2022-03-24,Last trading day to clinch dividend of Nepal Doorsanchar and Jeevan Bikas Laghubitta,https://www.sharesansar.com/newsdetail/last-trading-day-to-clinch-dividend-of-nepal-doorsanchar-and-jeevan-bikas-laghubitta-2022-03-24
2022-03-15,"Nepal Doorsanchar Company (NTC) Proposes Bonus Shares for First Time, Stock Already Up 80% From Last 5 Months",https://www.sharesansar.com/newsdetail/nepal-doorsanchar-company-ntc-proposes-bonus-shares-for-first-time-stock-already-up-80-from-last-5-months-2022-03-15
2022-01-10,Kamana Sewa Bikas Bank partners with Namaste Pay; bank’s customers can now load fund into digital wallets and make use of its services,https://www.sharesansar.com/newsdetail/kamana-sewa-bikas-bank-partners-with-namaste-pay-banks-customers-can-now-load-fund-into-digital-wallets-and-make-use-of-its-services-2022-01-10
2021-10-08,Nepal Bank ties up with NTC; students and couples to enjoy free NTC SIM cards bundled with special packages for opening new saving account,https://www.sharesansar.com/newsdetail/nepal-bank-ties-up-with-ntc-students-and-couples-to-enjoy-free-ntc-sim-cards-bundled-with-special-packages-for-opening-new-saving-account-2021-10-08
