Date,Title,URL
2024-11-20,"Standard Chartered Bank Nepal Limited has announced its 38th AGM going to be held on 25th Mangsir, 2081 and has published its financial highlights of fiscal year 2080/81.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-announced-its-38th-agm-going-to-be-held-on-25th-mangsir-2081-and-has-published-its-financial-highlights-of-fiscal-year-208081-2024-11-20
2024-10-23,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 862.20 million and published its 1st quarter company analysis of the fiscal year 2081/82.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-86220-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-208182-2024-10-23
2024-08-04,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 3.30 billion and published its 4th quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-330-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-208081-2024-08-04
2024-04-19,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 2.44 billion and published its 3rd quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-244-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-208081-2024-04-19
2024-04-05,Standard Chartered Bank Nepal Limited has published its annual financial statement of the fiscal year 2079/80.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-its-annual-financial-statement-of-the-fiscal-year-207980-2024-04-05
2024-01-21,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.72 billion and published its 2nd quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-172-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-208081-2024-01-21
2023-11-18,"Standard Chartered Bank Nepal Limited has announced its 37th AGM going to be held on 24th Mangsir, 2080 and has published its annual financial highlights of the fiscal year 2079/80.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-announced-its-37th-agm-going-to-be-held-on-24th-mangsir-2080-and-has-published-its-annual-financial-highlights-of-the-fiscal-year-207980-2023-11-18
2023-11-03,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 827.70 million and published its 1st quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-82770-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-208081-2023-11-03
2023-08-06,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 3.52 billion and published its 4th quarter company analysis of the fiscal year 2079/80.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-352-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207980-2023-08-06
2023-04-20,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 2.61 billion and published its 3rd quarter company analysis of the fiscal year 2079/80.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-261-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207980-2023-04-20
2023-01-27,Standard Chartered Bank Limited has published its annual financial highlights of the fiscal year 2078/79.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-published-its-annual-financial-highlights-of-the-fiscal-year-207879-2023-01-27
2023-01-21,Standard Chartered Bank Limited has posted a net profit of Rs 1.75 billion and published its 2nd quarter company analysis of the fiscal year 2079/80.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-posted-a-net-profit-of-rs-175-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207980-2023-01-21
2022-11-18,"Standard Chartered Bank Nepal Limited has announced its 36th AGM going to be held on 25th Mangsir, 2079 and has published its annual financial highlights of the fiscal year 2078/79.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-announced-its-36th-agm-going-to-be-held-on-25th-mangsir-2079-and-has-published-its-annual-financial-highlights-of-the-fiscal-year-207879-2022-11-18
2022-10-24,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 811.39 million and published its 1st quarter company analysis of the fiscal year 2079/80.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-81139-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207980-2022-10-24
2022-07-27,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 2.26 billion and published its 4th quarter company analysis of the fiscal year 2078/79.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-226-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207879-2022-07-27
2022-04-20,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.62 billion and published its 3rd quarter company analysis of the fiscal year 2078/79.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-162-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207879-2022-04-20
2022-03-17,Standard Chartered Bank Limited has published its annual financial highlights of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-published-its-annual-financial-highlights-of-the-fiscal-year-207778-2022-03-17
2022-01-21,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.08 billion and published its 2nd quarter company analysis of the fiscal year 2078/79.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-108-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207879-2022-01-21
2021-11-19,"Standard Chartered Bank Limited has announced its 35th AGM going to be held on 28th Mangsir, 2078, and published its audited financial highlights of the FY 2077/78.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-announced-its-35th-agm-going-to-be-held-on-28th-mangsir-2078-and-published-its-audited-financial-highlights-of-the-fy-207778-2021-11-19
2021-11-01,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 401.37 million and published its 1st quarter company analysis of the fiscal year 2078/79.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-40137-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207879-2021-11-01
2021-08-14,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.40 billion and published its 4th quarter company analysis of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-140-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207778-2021-08-14
2021-04-28,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.18 billion and published its 3rd quarter company analysis of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-118-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207778-2021-04-28
