Date,Title,URL
2024-12-16,"Revised Interest Rates for Poush: NIC Asia and NMB Lead, Laxmi Sunrise Offers Lowest",https://www.sharesansar.com/newsdetail/revised-interest-rates-for-poush-nic-asia-and-nmb-lead-laxmi-sunrise-offers-lowest-2024-12-16
2024-12-10,NRB Report Highlights Commercial and Development Banks' Net Profits up to Kartik; NABIL Tops the Charts Once More,https://www.sharesansar.com/newsdetail/nrb-report-highlights-commercial-and-development-banks-net-profits-up-to-kartik-nabil-tops-the-charts-once-more-2024-12-10
2024-12-10,Gorakh Shumsher Rana Appointed as CEO of Standard Chartered Bank Nepal,https://www.sharesansar.com/newsdetail/gorakh-shumsher-rana-appointed-as-ceo-of-standard-chartered-bank-nepal-2024-12-10
2024-11-26,Reminder! Last Day to Grab Dividend Proposed by Standard Chartered Bank Nepal Limited,https://www.sharesansar.com/newsdetail/reminder-last-day-to-grab-dividend-proposed-by-standard-chartered-bank-nepal-limited-2024-11-26
2024-11-19,Standard Chartered Bank Unveils Book Closure Date for its 25.5% Dividend; Calls AGM on Mangsir 25,https://www.sharesansar.com/newsdetail/standard-chartered-bank-unveils-book-closure-date-for-its-255-dividend-calls-agm-on-mangsir-25-2024-11-19
2024-11-15,Commercial Banks Revise Mangsir Interest Rates; Machhapuchchhre Bank Leads with Significant Cuts,https://www.sharesansar.com/newsdetail/commercial-banks-revise-mangsir-interest-rates-machhapuchchhre-bank-leads-with-significant-cuts-2024-11-15
2024-10-29,Standard Chartered Bank Proposes 25.5% Dividend for FY 2080/81; How Much in Bonus Shares and Cash?,https://www.sharesansar.com/newsdetail/standard-chartered-bank-proposes-255-dividend-for-fy-208081-how-much-in-bonus-shares-and-cash-2024-10-29
2024-10-25,Comparative Analysis of First Quarter Reports of 20 Commercial Banks; Industry Accumulates An Average Profit of Rs. 81.16 Crores In Q1 FY 2081-82,https://www.sharesansar.com/newsdetail/comparative-analysis-of-first-quarter-reports-of-20-commercial-banks-industry-accumulates-an-average-profit-of-rs-8116-crores-in-q1-fy-2081-82-2024-10-25
2024-10-23,"Commercial Banks Report 21.63% Rise in Net Profit for Q1 FY 2081/82; NABIL Leads, SBL Shows Highest Growth",https://www.sharesansar.com/newsdetail/commercial-banks-report-2163-rise-in-net-profit-for-q1-fy-208182-nabil-leads-sbl-shows-highest-growth-2024-10-23
2024-10-20,"NRB Report Highlights Commercial and Development Banks' Net Profits up to Bhadra; NABIL, MNBBL and ICFC Tops the Chart",https://www.sharesansar.com/newsdetail/nrb-report-highlights-commercial-and-development-banks-net-profits-up-to-bhadra-nabil-mnbbl-and-icfc-tops-the-chart-2024-10-20
2024-10-16,Commercial Banks Unveil Kartik Interest Rate Adjustments: SANIMA Raises Rates While CZBIL and HBL Implements Significant Cut,https://www.sharesansar.com/newsdetail/commercial-banks-unveil-kartik-interest-rate-adjustments-sanima-raises-rates-while-czbil-and-hbl-implements-significant-cut-2024-10-16
2024-10-01,Standard Chartered Bank Nepal Partners with Chhimek Laghubitta Bittiya Sanstha to Enhance Financial Access in Rural Areas,https://www.sharesansar.com/newsdetail/standard-chartered-bank-nepal-partners-with-chhimek-laghubitta-bittiya-sanstha-to-enhance-financial-access-in-rural-areas-2024-10-01
2024-09-22,"Anirvan Ghosh Dastidar Named ""Banking CEO of the Year Nepal 2024""",https://www.sharesansar.com/newsdetail/anirvan-ghosh-dastidar-named-banking-ceo-of-the-year-nepal-2024-2024-09-22
