Date,Open,High,Low,Close,Volume
7/20/1997,173.26,173.26,173.26,173.26,173
7/21/1997,173.25,173.25,173.25,173.25,173
7/22/1997,173.03,173.03,173.03,173.03,173
7/23/1997,172.68,172.68,172.68,172.68,173
7/24/1997,172.66,172.66,172.66,172.66,173
7/27/1997,173.15,173.15,173.15,173.15,173
7/28/1997,173.03,173.03,173.03,173.03,173
7/29/1997,172.88,172.88,172.88,172.88,173
7/30/1997,172.12,172.12,172.12,172.12,172
7/31/1997,171.7,171.7,171.7,171.7,172
8/3/1997,171.52,171.52,171.52,171.52,172
8/4/1997,171.36,171.36,171.36,171.36,171
8/5/1997,171.16,171.16,171.16,171.16,171
8/6/1997,171.1,171.1,171.1,171.1,171
8/7/1997,171.24,171.24,171.24,171.24,171
8/10/1997,170.39,170.39,170.39,170.39,170
8/11/1997,169.38,169.38,169.38,169.38,169
8/12/1997,169.28,169.28,169.28,169.28,169
8/13/1997,169.28,169.28,169.28,169.28,169
8/14/1997,169.52,169.52,169.52,169.52,170
8/17/1997,169.57,169.57,169.57,169.57,170
8/20/1997,169.76,169.76,169.76,169.76,170
8/21/1997,169.57,169.57,169.57,169.57,170
8/24/1997,169.91,169.91,169.91,169.91,170
8/26/1997,169.57,169.57,169.57,169.57,170
8/27/1997,169.87,169.87,169.87,169.87,170
8/28/1997,169.98,169.98,169.98,169.98,170
8/31/1997,169.64,169.64,169.64,169.64,170
9/1/1997,170.13,170.13,170.13,170.13,170
9/2/1997,170.2,170.2,170.2,170.2,170
9/3/1997,168.74,168.74,168.74,168.74,169
9/4/1997,168.63,168.63,168.63,168.63,169
9/7/1997,168.49,168.49,168.49,168.49,168
9/8/1997,168.84,168.84,168.84,168.84,169
9/9/1997,169.18,169.18,169.18,169.18,169
9/10/1997,169.17,169.17,169.17,169.17,169
9/11/1997,169.99,169.99,169.99,169.99,170
9/14/1997,170.1,170.1,170.1,170.1,170
9/16/1997,170.45,170.45,170.45,170.45,170
9/17/1997,170.6,170.6,170.6,170.6,171
9/18/1997,169.67,169.67,169.67,169.67,170
9/21/1997,170.31,170.31,170.31,170.31,170
9/22/1997,170.06,170.06,170.06,170.06,170
9/23/1997,170.43,170.43,170.43,170.43,170
9/24/1997,169.96,169.96,169.96,169.96,170
9/25/1997,169.97,169.97,169.97,169.97,170
9/28/1997,170.71,170.71,170.71,170.71,171
9/29/1997,170.64,170.64,170.64,170.64,171
9/30/1997,171.23,171.23,171.23,171.23,171
10/1/1997,170.2,170.2,170.2,170.2,170
10/5/1997,169.8,169.8,169.8,169.8,170
10/6/1997,169.7,169.7,169.7,169.7,170
10/7/1997,169.68,169.68,169.68,169.68,170
10/16/1997,169.43,169.43,169.43,169.43,169
10/19/1997,169.51,169.51,169.51,169.51,170
10/20/1997,169.55,169.55,169.55,169.55,170
10/21/1997,169.29,169.29,169.29,169.29,169
10/22/1997,170.33,170.33,170.33,170.33,170
10/23/1997,171.04,171.04,171.04,171.04,171
10/26/1997,170.61,170.61,170.61,170.61,171
10/27/1997,172.96,172.96,172.96,172.96,173
10/28/1997,172,172,172,172,172
10/29/1997,173.43,173.43,173.43,173.43,173
11/3/1997,173.44,173.44,173.44,173.44,173
11/4/1997,172.68,172.68,172.68,172.68,173
11/5/1997,173.03,173.03,173.03,173.03,173
11/6/1997,172.07,172.07,172.07,172.07,172
11/9/1997,173.02,173.02,173.02,173.02,173
11/10/1997,172.46,172.46,172.46,172.46,172
11/11/1997,172.08,172.08,172.08,172.08,172
11/12/1997,171.96,171.96,171.96,171.96,172
11/13/1997,172.02,172.02,172.02,172.02,172
